PlaceID,FacilityName,Latitude,Longitude,StreetAddress,City,County,ZipCode,RegionalWaterBoard,OperationalYear,ShutdownYear,DataSource,CADDID,Year,MilkCows,DryCows,OldHeifers,YoungHeifers,OldCalves,YoungCalves,BeefCattle,TotalHerdSize,MilkCowsHerdSizeRefCode,NonMilkingCattleHerdSizeRefCode,LabeledAsDairy
204453,Adams Dairy,36.4921,-119.6847,16661 South Fowler Avenue,Selma,Fresno,93662,5F,#N/A,#N/A,#N/A,10014,2023,60,10,20,20,15,15,0,140,1,1,1
204511,Adriano Nunes & Son Dairy Farming,36.1286,-119.503,18675 Road 32,Tulare,Tulare,93274,5F,#N/A,#N/A,#N/A,10015,2023,790,144,295,300,140,109,0,1778,1,1,1
204805,AJB Ranch Dairy,35.3583,-119.3208,28128 Stockdale Hwy,Bakersfield,Kern,93314,5F,#N/A,#N/A,#N/A,10016,2023,3995,534,983,788,772,0,0,7072,1,1,1
204810,AJF Dairy,37.0904,-120.328,23435 Road 12,Chowchilla,Madera,93610,5F,#N/A,#N/A,#N/A,10017,2023,780,90,232,0,0,120,0,1222,1,1,1
204863,Alamo Dairy,37.5076,-121.013,1500 Fulkerth Road,Crows Landing,Stanislaus,95313,5S,#N/A,#N/A,#N/A,10018,2023,1400,600,1200,1200,600,0,0,5000,1,1,1
204886,Legend Dairy #1,33.9884,-117.6465,7233 Eucalyptus Avenue,Ontario,San Bernardino,91762,8,#N/A,#N/A,#N/A,10019,2023,0,0,0,0,0,0,0,0,2a,2a,0
204887,Huizenga Heifer Ranch,33.9934,-117.6506,14281 Euclid Avenue,Chino,San Bernardino,91762,8,#N/A,#N/A,#N/A,10020,2023,0,0,0,0,0,0,0,0,2a,2c,0
204896,Albert Mendes Dairy,37.4852,-121.0086,1100 Ruble Road,Crows Landing,Stanislaus,95313,5S,2023,NaN,DDRDP,10021,2023,1400,300,200,0,300,0,0,2200,1,1,1
204958,Gordon Dairy #7,33.9958,-117.6269,8185 Edison Avenue,Ontario,San Bernardino,91762,8,#N/A,#N/A,#N/A,10022,2023,0,0,124,126,0,0,0,250,1,1,0
204959,TiVa Dairy #2,33.9905,-117.6083,9031 Eucalyptus Avenue,Ontario,San Bernardino,91762,8,#N/A,#N/A,#N/A,10023,2023,0,0,0,0,0,0,0,0,2a,2e,0
204960,Gordon Dairy #6,33.9929,-117.628,14361 Grove Avenue,Ontario,San Bernardino,91762,8,#N/A,#N/A,#N/A,10024,2023,0,0,0,0,0,0,0,0,2a,2a,0
204964,Alexander Dairy,37.7178,-120.962,2054 Crawford Road,Modesto,Stanislaus,95357,5S,#N/A,#N/A,#N/A,10025,2023,0,0,0,0,0,0,0,0,2a,2e,0
204971,Alexandre Dairy,41.8958,-124.1759,8371 Lower Lake,Crescent City,Del Norte,95531,1,#N/A,#N/A,#N/A,10026,2023,1808,251,1027,758,407,193,0,4444,1,1,1
204985,Alfred Soares Dairy,37.0575,-120.4377,21282 Road 6,Chowchilla,Madera,93610,5F,#N/A,#N/A,#N/A,10027,2023,940,140,750,610,430,0,0,2870,1,1,1
205090,Frank Rosa Diary (Closed),36.5305,-119.777,910 East Klepper Street,Fresno,Fresno,93725,5F,#N/A,#N/A,#N/A,10028,2023,0,0,0,0,0,0,0,0,2a,2c,0
205287,Defense Ranch Dairy (Closed),37.0236,-120.3505,10726 Avenue 19,Chowchilla,Madera,93610,5F,#N/A,#N/A,#N/A,10029,2023,0,0,0,0,0,0,0,0,2b,2b,0
205356,Alvaro Machado Dairy,36.3973,-119.6188,5230 9th Avenue,Hanford,Kings,93230,5F,#N/A,#N/A,#N/A,10030,2023,865,130,290,295,145,0,0,1725,1,1,1
205357,"Alvernaz Dairy, Inc.",37.4851,-120.9944,10562 Crows Landing Road,Crows Landing,Stanislaus,95313,5S,#N/A,#N/A,#N/A,10031,2023,0,0,0,0,0,0,0,0,2a,2e,0
205369,Quist Dairy,36.7114,-119.8879,5500 West Jensen Avenue,Fresno,Fresno,93706,5F,#N/A,#N/A,#N/A,10032,2023,0,0,0,0,0,0,0,0,2a,2c,0
205371,Two Star Dairy #1,36.1069,-119.4322,6305 Avenue 176,Tulare,Tulare,93274,5F,#N/A,#N/A,#N/A,10033,2023,0,0,0,0,0,0,0,0,1,1,0
205750,Andrade Dairy,37.0617,-120.3611,10221 Avenue 21 1/2,Chowchilla,Madera,93610,5F,#N/A,#N/A,#N/A,10034,2023,0,0,0,0,0,0,0,0,1,1,0
205753,Fernjo Dairy #2,36.211,-119.2501,14428 Avenue 232,Tulare,Tulare,93274,5F,#N/A,#N/A,#N/A,10035,2023,0,0,800,100,0,0,0,900,1,1,0
205765,AJ Slenders Dairy,36.4666,-119.7808,625 East Coleman Avenue,Laton,Fresno,93242,5F,#N/A,#N/A,#N/A,10036,2023,1012,110,450,350,150,0,0,2072,1,1,1
205805,Angiola Dairy,36.0054,-119.4491,5515 Avenue 120,Corcoran,Tulare,93212,5F,#N/A,#N/A,#N/A,10037,2023,989,214,390,170,438,87,0,2288,1,1,1
205829,Ankeridge Dairy,36.2453,-119.175,17873 Avenue 256,Visalia,Tulare,93292,5F,#N/A,#N/A,#N/A,10038,2023,0,0,0,0,0,0,0,0,2a,2e,0
205856,Diamond J Dairy LLC,37.1909,-120.4829,6600 South Hwy 59,Merced,Merced,95341,5S,#N/A,#N/A,#N/A,10039,2023,905,156,250,150,180,0,0,1641,1,1,1
205857,Ansonea Dairy,35.2525,-118.9456,5250 Di Giorgio Road,Bakersfield,Kern,93307,5F,#N/A,#N/A,#N/A,10040,2023,1528,332,389,394,376,0,0,3019,1,1,1
205927,former REIS DAIRY (CLOSED),37.126716,-120.329488,25842  Road 12,Chowchilla,Madera,93610,5F,#N/A,#N/A,#N/A,11907,2023,0,0,0,0,0,0,0,0,2a,2e,0
205938,Antonio Ribeiro Dairy,36.4306,-119.804,430 West Mt Whitney Avenue,Riverdale,Fresno,93656,5F,#N/A,#N/A,#N/A,10041,2023,0,0,800,800,0,300,0,1900,1,1,0
205940,Santos Jer-Z Dairy,36.2467,-119.213,25199 Road 164,Visalia,Tulare,93292,5F,#N/A,#N/A,#N/A,10042,2023,305,56,79,0,0,0,0,440,1,1,1
205941,GALHANDRO DAIRY (former Gabriel A. Silveira Dairy),36.22948,-119.58421,16680  7th Avenue,Hanford,Kings,93230,5F,#N/A,#N/A,#N/A,11912,2023,0,0,0,0,0,0,0,0,2a,3g,0
206288,A & M Farms Dairy,36.6068,-119.9781,10380 Manning Avenue,Fresno,Fresno,93706,5F,#N/A,#N/A,#N/A,10043,2023,1789,239,789,501,0,0,0,3318,1,1,1
206290,River Oaks Dairy,36.4285,-119.7336,3621 East Mount Whitney Avenue,Laton,Fresno,93242,5F,#N/A,#N/A,#N/A,10044,2023,1657,190,0,0,0,0,0,1847,1,1,1
206316,Milky Way Dairy,36.4099,-119.3738,34800 Rd 80,Visalia,Tulare,93291,5F,#N/A,#N/A,#N/A,10045,2023,4510,447,5312,3529,962,0,0,14760,1,1,1
206319,G & H Dairy #2,37.8138,-121.0159,16475 Brennan Road,Escalon,San Joaquin,95320,5S,#N/A,#N/A,#N/A,10046,2023,640,0,700,830,0,0,0,2170,1,1,1
206320,G & A Dairy,36.7015,-119.8412,2200 South Marks Avenue,Fresno,Fresno,93706,5F,#N/A,#N/A,#N/A,10047,2023,1255,195,463,219,0,0,0,2132,1,1,1
206371,Flores Dairy,37.4534,-120.5173,1929 West Youd Road,Winton,Merced,95388,5S,#N/A,#N/A,#N/A,10048,2023,0,0,0,0,0,0,0,0,2a,2c,0
206379,Bay Meadow Farms,38.2792,-121.3086,10326 Walnut Avenue,Galt,Sacramento,95632,5S,#N/A,#N/A,#N/A,10049,2023,0,0,0,0,0,0,0,0,2a,2a,0
206461,Pacific Rim Dairy,36.0343,-119.5155,13406 Road 24,Corcoran,Tulare,93212,5F,2021,NaN,AgSTAR,10050,2023,8754,1062,2725,1875,875,0,0,15291,1,1,1
206616,Astiasuain Dairy,36.6546,-119.3823,22654 East Jefferson Avenue,Reedley,Fresno,93654,5F,#N/A,#N/A,#N/A,10051,2023,0,0,13,0,3,0,0,16,1,1,0
206617,GTA Dairy,36.0989,-119.21,16197 Avenue 172,Tulare,Tulare,93274,5F,#N/A,#N/A,#N/A,10052,2023,1059,211,539,440,1972,928,0,5149,1,1,1
206618,Soares Dairy - Dos Palos,37.0322,-120.5198,19045 Road 1,Dos Palos,Madera,93620,5F,2022,NaN,AgSTAR,10053,2023,2850,655,1785,2370,600,0,0,8260,1,1,1
206708,Sozinho Jerseys 2,36.3274,-119.5614,5811 Lacey Boulevard,Hanford,Kings,93230,5F,#N/A,#N/A,#N/A,10054,2023,895,98,66,78,24,0,0,1161,1,1,1
206748,Aukeman Dairy,35.4916,-119.3731,28349 Los Angeles Street,Shafter,Kern,93263,5F,#N/A,#N/A,#N/A,10055,2023,2545,260,703,525,533,0,0,4566,1,1,1
207800,Headquarters Ranch #1,36.3354,-119.7627,9495 17th Ave,Lemoore,Kings,93245,5F,#N/A,#N/A,#N/A,11795,2023,0,0,0,585,0,0,0,585,1,1,0
208214,Aukeman Farms,36.1049,-119.3661,17297 Road 96,Tulare,Tulare,93274,5F,2021,NaN,DDRDP,10056,2023,3140,415,1935,840,640,535,0,7505,1,1,1
208356,Olam Farming Inc.,35.2483,-119.1671,14467 Taft Highway,Bakersfield,Kern,93311,5F,#N/A,#N/A,#N/A,10057,2023,0,0,0,0,0,0,0,0,2a,2e,0
208372,Jacobus DeGroot Dairy #2,36.3793,-119.3428,10438 Avenue 320,Visalia,Tulare,93291,5F,2021,NaN,DDRDP,10058,2023,1243,195,48,0,0,0,0,1486,1,1,1
208374,Desert Oasis Dairy (Former B & E Dairy),34.9044,-117.0805,26599 Community Boulevard,Barstow,San Bernardino,92311,6V,#N/A,#N/A,#N/A,10059,2023,2160,350,0,0,0,0,0,2510,1,1,1
208376,Ulys Dairy,38.4633,-121.7443,8118 Sikes Road,Dixon,Solano,95620,5S,#N/A,#N/A,#N/A,10060,2023,950,134,350,210,78,78,0,1800,1,1,1
208378,Correia Farms,36.3225,-119.4234,29401 Road 68,Visalia,Tulare,93277,5F,#N/A,#N/A,#N/A,10061,2023,350,40,200,0,0,0,0,590,1,1,1
208384,B & J Dairy,38.3242,-121.3242,9950 Arno Road,Galt,Sacramento,95632,5S,#N/A,#N/A,#N/A,10062,2023,585,119,500,800,130,100,0,2234,1,1,1
208499,Delta Woods Dairy,37.791,-121.4346,18700 South Bacchetti Road,Tracy,San Joaquin,95304,5S,#N/A,#N/A,#N/A,10063,2023,670,90,220,200,110,0,0,1290,1,1,1
208503,Joe Avila AFO,34.0046,-117.6183,8559 Schaefer Avenue,Ontario,San Bernardino,91761,8,#N/A,#N/A,#N/A,10064,2023,0,0,0,0,0,0,0,0,2a,2a,0
208546,Art Silva Dairy,37.6824,-120.9002,5201 Milnes Road,Modesto,Stanislaus,95357,5S,#N/A,#N/A,#N/A,10065,2023,937,149,0,0,0,268,0,1354,1,1,1
208592,Bakker Dairy,36.3318,-119.4386,29800 Road 60,Vislia,Tulare,93291,5F,#N/A,#N/A,#N/A,10066,2023,0,0,0,0,0,0,0,0,2b,2b,0
208636,Traver Cattle,36.4313,-119.5009,3212 Avenue 352,Kingsburg,Tulare,93631,5F,#N/A,#N/A,#N/A,11775,2023,0,0,2589,1749,0,0,0,4338,1,1,0
208638,Bancrest Dairy,40.5809,-124.2397,509 Coppini Lane,Ferndale,Humboldt,95536,1,#N/A,#N/A,#N/A,10067,2023,0,0,0,0,0,0,0,0,2a,2c,0
208649,SD Farms II-2,34.0133,-117.6506,13159 Euclid Avenue,Ontario,San Bernardino,91762,8,#N/A,#N/A,#N/A,10068,2023,0,162,44,45,0,0,0,251,1,1,0
208679,Bar 20 Dairy No. 2 & 3,36.73,-120.2385,24387 West Whitesbridge Avenue,Kerman,Fresno,93630,5F,2021,NaN,DDRDP,10069,2023,6700,950,3600,2800,1200,1200,0,16450,1,1,1
208680,Bar 20 Dairy Ranch #1,36.730063,-119.869289,4260  Madison Avenue,Fresno,Fresno,93706,5F,#N/A,#N/A,#N/A,11913,2023,0,0,0,0,0,0,0,0,2a,2a,0
208686,John Vander Poel Dairy (Pixley),35.9385,-119.3429,8001 Road 104,Pixley,Tulare,93256,5F,2019,NaN,DDRDP,10070,2023,4684,430,1925,2096,0,0,0,9135,1,1,1
208697,F & L Barcellos Dairy,36.0532,-119.3955,14581 Road 80,Tipton,Tulare,93272,5F,2026,NaN,DDRDP,10071,2023,649,105,340,122,112,53,0,1381,1,1,1
208747,Barreto & Silveira Dairy,36.3078,-119.4904,11305 2nd Avenue,Hanford,Kings,93230,5F,#N/A,#N/A,#N/A,10072,2023,0,0,0,0,0,0,0,0,1,1,0
209021,Bear Mountain Dairy,35.2063,-119.0545,4551 Bear Mountain Boulevard,Bakersfield,Kern,93313,5F,#N/A,#N/A,#N/A,10073,2023,2548,623,898,988,392,374,0,5823,1,1,1
209118,Bel R. Martin & Sons Dairy,36.1508,-119.3011,12131 Avenue 200,Tulare,Tulare,93274,5F,#N/A,#N/A,#N/A,10074,2023,880,100,325,225,0,0,0,1530,1,1,1
209180,Bello Dairy,38.1011,-122.1698,6  Lake Herman,Benicia,Solano,94510,2,#N/A,#N/A,#N/A,11895,2023,0,0,0,0,0,0,0,0,3g,3g,0
209221,Fontes Dairy Farms - Dairy 1,36.4746,-119.8939,5512 West Davis Avenue,Riverdale,Fresno,93656,5F,#N/A,#N/A,#N/A,10075,2023,585,78,463,390,63,0,0,1579,1,1,1
209228,Former Van Warmerdam Dairy,38.9245,-121.5569,1616 Cornelius Avenue,Nicolaus,Sutter,95659,5S,#N/A,#N/A,#N/A,10076,2023,0,0,0,0,0,0,0,0,1,1,0
209303,"Bergwerff Farms, Inc.",37.8212,-120.8574,7113 Mettler Road,Oakdale,Stanislaus,95361,5S,#N/A,#N/A,#N/A,10077,2023,0,0,0,0,0,0,0,0,2a,2e,0
209326,L & M Dairy,37.8376,-121.0157,13944 Brennan Road,Escalon,San Joaquin,95320,5S,#N/A,#N/A,#N/A,10078,2023,0,0,0,0,0,0,0,0,2b,2b,0
209328,Jesse & James Jongsma Dairy,36.0537,-119.4188,6780 Avenue 144,Tipton,Tulare,93272,5F,#N/A,#N/A,#N/A,10079,2023,1447,331,666,547,115,0,0,3106,1,1,1
209329,Moonstone Dairy,36.283,-119.4796,1305 Iona Avenue,Hanford,Kings,93230,5F,2026,NaN,DDRDP,10080,2023,1811,240,563,619,296,141,0,3670,1,1,1
209367,Bess Dairy,40.5333,-124.0572,5798 Highway 36,Carlotta,Humboldt,95528,1,#N/A,#N/A,#N/A,10081,2023,0,0,0,0,0,0,0,0,2c,2c,0
209398,Bettencourt Dairy,36.982519,-121.471086,4790 Pacheco Pass Highway,Gilroy,Santa Clara,95020,3,#N/A,#N/A,#N/A,11914,2023,0,0,0,0,0,0,0,0,3g,3g,0
209407,Bettinelli Dairy,38.24443,-122.538373,4695  Old Adobe,Petaluma,Sonoma,94954,2,#N/A,#N/A,#N/A,11915,2023,0,0,0,0,0,0,0,0,3g,3g,0
209495,Silva Dairy Farms,37.309,-120.8963,1497 Edminster Road,Stevinson,Merced,95374,5S,#N/A,#N/A,#N/A,10082,2023,1400,350,440,590,215,350,0,3345,1,1,1
209513,"Big De Dairy, LP",36.6037,-119.8436,2947 West Manning Avenue,Fresno,Fresno,93706,5F,#N/A,#N/A,#N/A,10083,2023,1147,138,685,686,368,0,0,3024,1,1,1
209569,William John Jongsma Dairy,35.9993,-119.2301,11598 Road 152,Pixley,Tulare,93256,5F,#N/A,#N/A,#N/A,10084,2023,2340,370,531,702,151,195,0,4289,1,1,1
209582,IVY STAR Dairy,37.0718,-120.9288,14903 South Volta Road,Los Banos,Merced,93635,5S,#N/A,#N/A,#N/A,10085,2023,330,50,115,185,40,0,0,720,1,1,1
209673,Jimi Valov Family Trust,36.2252,-119.3855,2865 West Prosperity Avenue,Tulare,Tulare,93274,5F,#N/A,#N/A,#N/A,10086,2023,0,0,32,0,0,0,0,32,1,1,0
209965,George Boere Family Dairy,33.678,-117.1366,30490 Briggs Road,Menifee,Riverside,92584,8,#N/A,#N/A,#N/A,10087,2023,0,0,0,0,0,0,0,0,2a,2a,0
209966,Boersma Dairy,33.8338,-117.0554,4050 Ramona Expressway,San Jacinto,Riverside,92582,8,#N/A,#N/A,#N/A,10088,2023,872,140,81,59,88,42,0,1282,1,1,1
209968,Boersma Inc.,33.985942,-117.62848,14746  Grove,Chino,San Bernardino,91762,8,#N/A,#N/A,#N/A,11916,2023,0,0,0,0,0,0,0,0,2e,2e,0
209990,Bollema Dairy - Schaefer,34.0039,-117.6249,8261 Schaefer Avenue,Ontario,San Bernardino,91761,8,#N/A,#N/A,#N/A,10089,2023,0,0,0,0,0,0,0,0,2a,2e,0
210036,Still Water Ranch LLC,36.3987,-119.5248,5001 4th Avenue,Hanford,Kings,93230,5F,2019,NaN,AgSTAR,10090,2023,5265,711,2437,2008,940,0,0,11361,1,1,1
210049,"Joe Borba Dairy, Inc.",37.4609,-120.9497,3419 South Moffett Road,Turlock,Stanislaus,95380,5S,#N/A,#N/A,#N/A,10091,2023,0,0,0,50,0,0,0,50,1,1,0
210069,F&L Barcellos Dairy #2/White Gold Dairy,36.0636,-119.4037,7585 Avenue 152,Tipton,Tulare,93272,5F,#N/A,#N/A,#N/A,10092,2023,0,0,1182,754,0,0,0,1936,1,1,0
210070,Feedlot APN 002-240-035,36.4021,-119.7278,15064  Excelsior,Hanford,Kings,93230,5F,#N/A,#N/A,#N/A,11908,2023,0,0,0,0,0,0,0,0,2a,2a,0
210071,Borges Dairy,36.0868,-119.2684,16371 Road 136,Tipton,Tulare,93272,5F,#N/A,#N/A,#N/A,10093,2023,1421,237,230,211,0,0,0,2099,1,1,1
210073,Borges Farms,37.5658,-121.0882,5148 West Grayson Road,Modesto,Stanislaus,95358,5S,#N/A,#N/A,#N/A,10094,2023,750,135,150,100,100,150,0,1385,1,1,1
210098,John Bos Dairy,37.6816,-120.9122,4524 Milnes Road,Modesto,Stanislaus,95357,5S,#N/A,#N/A,#N/A,10095,2023,0,0,0,0,0,0,0,0,2a,2a,0
210100,Bosch Dairy,34.0074,-117.6065,13567 Whispering Lakes Lane,Ontario,San Bernardino,91761,8,#N/A,#N/A,#N/A,10096,2023,500,100,0,0,0,0,0,600,1,1,1
210103,Middle Ranch,36.0762,-119.2622,13805 Avenue 160,Tipton,Tulare,93272,5F,#N/A,#N/A,#N/A,10097,2023,0,0,1529,1551,0,0,0,3080,1,1,0
210104,Rancho Sierra Vista Dairy,36.3881,-119.3303,32866 Road 108,Visalia,Tulare,93291,5F,2021,NaN,DDRDP,10098,2023,2535,357,599,985,681,516,0,5673,1,1,1
210106,Pixley Dairy,35.9968,-119.4127,6801 Avenue 120,Tipton,Tulare,93272,5F,2021,NaN,DDRDP,11680,2023,5260,465,1389,994,581,361,0,9050,3b,3b,1
210107,Bosman Dairy,36.0457,-119.4617,4805 Avenue 144,Tipton,Tulare,93272,5F,#N/A,#N/A,#N/A,10099,2023,0,0,0,0,0,0,0,0,2a,2a,0
210122,Rancho the Fury,33.9833,-117.6097,8920 Merrill Avenue,Ontario,San Bernardino,91762,8,#N/A,#N/A,#N/A,10100,2023,0,0,0,0,0,0,0,0,2a,2a,0
210227,Elbow Creek Dairy,36.4175,-119.2983,34537 Road 124,Visalia,Tulare,93291,5F,#N/A,#N/A,#N/A,10101,2023,916,155,330,195,0,0,0,1596,1,1,1
210234,Brandenberg Feed Yard,32.6794,-115.6125,903 CA 98,Calexico,Imperial,92231,7,#N/A,#N/A,#N/A,11871,2023,0,85,925,1035,940,369,746,4100,1,1,0
210241,Brandt Cattle Company,33.1635,-115.5625,7015  Brandt Road,Calipatria,Imperial,92233,7,#N/A,#N/A,#N/A,11869,2023,0,2930,32017,35837,32546,12756,25819,141905,1,1,0
210254,FM Ranch #5,36.0608,-119.3959,14913 Road 80,Tipton,Tulare,93727,5F,#N/A,#N/A,#N/A,10102,2023,1491,220,295,253,0,0,0,2259,1,1,1
210255,Wagner Dairy #2,37.8282,-121.0546,14981 S Van Allen Rd,Escalon,San Joaquin,95320,5S,#N/A,#N/A,#N/A,10103,2023,1100,0,0,0,0,0,0,1100,1,1,1
210257,Westlake One Trust Facility,36.3298,-119.8346,9900 21st Avenue,Lemoore,Kings,93245,5F,#N/A,#N/A,#N/A,10104,2023,0,0,0,0,0,0,0,0,2a,2c,0
210266,Rainimade Dairy #2,36.4134,-119.2954,34308 Road 124,Visalia,Tulare,93292,5F,#N/A,#N/A,#N/A,10105,2023,747,115,294,176,0,0,0,1332,1,1,1
210275,Mike Brazil Dairy,40.5608,-124.1732,5736 Grizzly Bluff Road,Ferndale,Humboldt,95536,1,#N/A,#N/A,#N/A,10106,2023,88,12,23,17,27,13,0,180,1,1,1
210276,Brazil Dairy,38.2384,-122.7467,3700 Spring Hill Rd.,Petaluma,Sonoma,94952,2,#N/A,#N/A,#N/A,10107,2023,255,35,0,0,0,0,0,290,3a,3a,1
210279,MB-Lucky Lady Farms,37.5511,-121.0099,1306 West Keyes Road,Modesto,Stanislaus,95358,5S,#N/A,#N/A,#N/A,10108,2023,675,130,295,165,95,120,0,1480,1,1,1
210315,Brentwood Farms Dairy,39.8277,-122.1204,24540 Clark Avenue,Orland (Capay),Tehama,95963,5R,#N/A,#N/A,#N/A,10109,2023,0,252,364,491,287,287,0,1681,2a,3a,0
210506,Brommer Dairy,34.005903,-117.627008,13605  Grove,Ontario,San Bernardino,91761,8,#N/A,#N/A,#N/A,11917,2023,0,0,0,0,0,0,0,0,2e,2e,0
210524,Brooks & Erman Ranch,38.2216,-121.245,25873 North Kennefick Road,Galt,San Joaquin,95632,5S,#N/A,#N/A,#N/A,10110,2023,376,33,0,0,0,0,0,409,1,1,1
210558,Bluegrass Dairy,36.287,-119.225,1260 South Mariposa Road,Visalia,Tulare,93291,5F,#N/A,#N/A,#N/A,10111,2023,525,42,10,0,0,0,0,577,1,1,1
210574,Mello D Jerseys,36.3426,-119.7255,14803 Grangeville Boulevard,Hanford,Kings,93230,5F,#N/A,#N/A,#N/A,10112,2023,888,100,0,0,0,0,0,988,1,1,1
210702,Buena Vista Dairy,36.1826,-119.4597,5038 Avenue 216,Tulare,Tulare,93274,5F,#N/A,#N/A,#N/A,10113,2023,0,0,0,0,0,0,0,0,2a,2c,0
210745,Bullfrog Farms,32.8691,-115.7424,2338 Payne Road,Seeley,Imperial,92273,7,2008,2014,AgSTAR,10114,2023,2011,275,478,392,209,135,0,3500,1,1,1
210937,SBS Ag Heifer Ranch,36.1652,-119.4592,20795 Road 52,Tulare,Tulare,93274,5F,#N/A,#N/A,#N/A,10115,2023,0,0,0,0,300,0,0,300,1,1,0
210941,Nick & Amber Buttke Dairy,38.3328,-122.7945,6033 Blank Road,Sebastopol,Sonoma,95472,1,#N/A,#N/A,#N/A,10116,2023,125,17,20,14,9,5,0,190,1,1,1
210965,R & S Dairy LLC,37.8132,-121.0141,24051 East Arthur Road,Escalon,San Joaquin,95320,5S,#N/A,#N/A,#N/A,10117,2023,600,0,295,200,0,0,0,1095,1,1,1
211763,Borba & Sons Dairy,36.0084,-119.2815,13010 Avenue 120,Pixley,Tulare,93256,5F,#N/A,#N/A,#N/A,10118,2023,540,130,0,425,0,0,0,1095,1,1,1
212191,Borba Brothers Dairy,36.2939,-119.6962,13243 Houston Avenue,Hanford,Kings,93230,5F,#N/A,#N/A,#N/A,10119,2023,798,100,150,150,0,0,0,1198,3a,3a,1
212246,Maria C. Mendonca Living Trust,36.4089,-119.8213,1253 West Lewiston Avenue,Riverdale,Fresno,93656,5F,#N/A,#N/A,#N/A,10120,2023,0,0,0,0,0,0,0,0,2a,2b,0
212299,C. Mattos & Sons Dairy,36.2158,-119.5296,17800 4th Avenue,Hanford,Kings,93230,5F,#N/A,#N/A,#N/A,10121,2023,1208,135,268,247,172,0,0,2030,1,1,1
212314,C.G. Van Vliet Dairy,37.7932,-120.9392,30158 East Hwy 120,Escalon,San Joaquin,95320,5S,#N/A,#N/A,#N/A,10122,2023,0,0,0,0,0,0,0,0,2a,2a,0
212442,Cabral Dairy,36.8749472,-120.1122161,8612  Road 24,Madera,Madera,93637,5F,#N/A,#N/A,#N/A,11918,2023,0,0,0,0,0,0,0,0,2a,2e,0
